#    L    TT             EE             BB             TE          
  2782   0.447072E+02   0.144507E+01   0.258670E-01  -0.169870E+01
  2783   0.445673E+02   0.144468E+01   0.258434E-01  -0.168827E+01
  2784   0.444276E+02   0.144434E+01   0.258197E-01  -0.167810E+01
  2785   0.442881E+02   0.144403E+01   0.257961E-01  -0.166818E+01
  2786   0.441488E+02   0.144376E+01   0.257725E-01  -0.165852E+01
  2787   0.440098E+02   0.144352E+01   0.257490E-01  -0.164912E+01
  2788   0.438711E+02   0.144332E+01   0.257254E-01  -0.163998E+01
  2789   0.437326E+02   0.144316E+01   0.257019E-01  -0.163109E+01
  2790   0.435945E+02   0.144303E+01   0.256783E-01  -0.162246E+01
  2791   0.434567E+02   0.144293E+01   0.256548E-01  -0.161408E+01
  2792   0.433192E+02   0.144285E+01   0.256314E-01  -0.160596E+01
  2793   0.431820E+02   0.144281E+01   0.256079E-01  -0.159810E+01
  2794   0.430452E+02   0.144279E+01   0.255844E-01  -0.159049E+01
  2795   0.429087E+02   0.144280E+01   0.255610E-01  -0.158313E+01
  2796   0.427727E+02   0.144283E+01   0.255376E-01  -0.157603E+01
  2797   0.426370E+02   0.144288E+01   0.255142E-01  -0.156918E+01
  2798   0.425018E+02   0.144296E+01   0.254909E-01  -0.156257E+01
  2799   0.423669E+02   0.144305E+01   0.254675E-01  -0.155622E+01
  2800   0.422326E+02   0.144316E+01   0.254442E-01  -0.155012E+01
  2801   0.420986E+02   0.144329E+01   0.254209E-01  -0.154427E+01
  2802   0.419652E+02   0.144344E+01   0.253976E-01  -0.153866E+01
  2803   0.418321E+02   0.144359E+01   0.253743E-01  -0.153329E+01
  2804   0.416997E+02   0.144376E+01   0.253511E-01  -0.152817E+01
  2805   0.415676E+02   0.144395E+01   0.253279E-01  -0.152329E+01
  2806   0.414361E+02   0.144414E+01   0.253047E-01  -0.151865E+01
  2807   0.413052E+02   0.144434E+01   0.252815E-01  -0.151425E+01
  2808   0.411747E+02   0.144455E+01   0.252584E-01  -0.151008E+01
  2809   0.410448E+02   0.144476E+01   0.252353E-01  -0.150615E+01
  2810   0.409155E+02   0.144497E+01   0.252122E-01  -0.150245E+01
  2811   0.407867E+02   0.144519E+01   0.251891E-01  -0.149899E+01
  2812   0.406586E+02   0.144542E+01   0.251660E-01  -0.149575E+01
  2813   0.405310E+02   0.144564E+01   0.251430E-01  -0.149274E+01
  2814   0.404040E+02   0.144586E+01   0.251200E-01  -0.148995E+01
  2815   0.402776E+02   0.144608E+01   0.250970E-01  -0.148738E+01
  2816   0.401518E+02   0.144629E+01   0.250740E-01  -0.148504E+01
  2817   0.400267E+02   0.144650E+01   0.250511E-01  -0.148291E+01
  2818   0.399022E+02   0.144670E+01   0.250282E-01  -0.148099E+01
  2819   0.397784E+02   0.144690E+01   0.250053E-01  -0.147929E+01
  2820   0.396552E+02   0.144709E+01   0.249825E-01  -0.147779E+01
  2821   0.395327E+02   0.144727E+01   0.249597E-01  -0.147650E+01
  2822   0.394109E+02   0.144744E+01   0.249369E-01  -0.147542E+01
  2823   0.392897E+02   0.144759E+01   0.249141E-01  -0.147453E+01
  2824   0.391693E+02   0.144773E+01   0.248913E-01  -0.147385E+01
  2825   0.390495E+02   0.144786E+01   0.248686E-01  -0.147336E+01
  2826   0.389305E+02   0.144797E+01   0.248459E-01  -0.147306E+01
  2827   0.388122E+02   0.144807E+01   0.248233E-01  -0.147295E+01
  2828   0.386946E+02   0.144815E+01   0.248006E-01  -0.147303E+01
  2829   0.385777E+02   0.144821E+01   0.247780E-01  -0.147328E+01
  2830   0.384616E+02   0.144825E+01   0.247554E-01  -0.147372E+01
  2831   0.383462E+02   0.144827E+01   0.247329E-01  -0.147434E+01
  2832   0.382315E+02   0.144826E+01   0.247103E-01  -0.147513E+01
  2833   0.381176E+02   0.144824E+01   0.246879E-01  -0.147609E+01
  2834   0.380045E+02   0.144819E+01   0.246654E-01  -0.147721E+01
  2835   0.378921E+02   0.144811E+01   0.246429E-01  -0.147850E+01
  2836   0.377806E+02   0.144801E+01   0.246205E-01  -0.147996E+01
  2837   0.376697E+02   0.144789E+01   0.245982E-01  -0.148156E+01
  2838   0.375597E+02   0.144773E+01   0.245758E-01  -0.148332E+01
  2839   0.374504E+02   0.144754E+01   0.245535E-01  -0.148523E+01
  2840   0.373419E+02   0.144733E+01   0.245312E-01  -0.148729E+01
  2841   0.372342E+02   0.144709E+01   0.245089E-01  -0.148949E+01
  2842   0.371274E+02   0.144681E+01   0.244867E-01  -0.149183E+01
  2843   0.370213E+02   0.144650E+01   0.244645E-01  -0.149430E+01
  2844   0.369160E+02   0.144616E+01   0.244423E-01  -0.149691E+01
  2845   0.368115E+02   0.144578E+01   0.244202E-01  -0.149965E+01
  2846   0.367078E+02   0.144537E+01   0.243981E-01  -0.150251E+01
  2847   0.366049E+02   0.144493E+01   0.243760E-01  -0.150549E+01
  2848   0.365028E+02   0.144445E+01   0.243540E-01  -0.150859E+01
  2849   0.364016E+02   0.144393E+01   0.243320E-01  -0.151180E+01
  2850   0.363011E+02   0.144338E+01   0.243100E-01  -0.151512E+01
  2851   0.362015E+02   0.144279E+01   0.242881E-01  -0.151855E+01
  2852   0.361027E+02   0.144215E+01   0.242661E-01  -0.152209E+01
  2853   0.360047E+02   0.144148E+01   0.242443E-01  -0.152572E+01
  2854   0.359075E+02   0.144077E+01   0.242224E-01  -0.152944E+01
  2855   0.358111E+02   0.144002E+01   0.242006E-01  -0.153326E+01
  2856   0.357156E+02   0.143923E+01   0.241788E-01  -0.153717E+01
  2857   0.356208E+02   0.143840E+01   0.241571E-01  -0.154116E+01
  2858   0.355269E+02   0.143752E+01   0.241353E-01  -0.154523E+01
  2859   0.354338E+02   0.143660E+01   0.241137E-01  -0.154938E+01
  2860   0.353415E+02   0.143564E+01   0.240920E-01  -0.155360E+01
  2861   0.352500E+02   0.143464E+01   0.240704E-01  -0.155790E+01
  2862   0.351593E+02   0.143359E+01   0.240488E-01  -0.156225E+01
  2863   0.350694E+02   0.143249E+01   0.240273E-01  -0.156667E+01
  2864   0.349804E+02   0.143135E+01   0.240057E-01  -0.157114E+01
  2865   0.348921E+02   0.143017E+01   0.239842E-01  -0.157567E+01
  2866   0.348047E+02   0.142894E+01   0.239628E-01  -0.158026E+01
  2867   0.347180E+02   0.142766E+01   0.239414E-01  -0.158488E+01
  2868   0.346322E+02   0.142634E+01   0.239200E-01  -0.158955E+01
  2869   0.345471E+02   0.142497E+01   0.238986E-01  -0.159426E+01
  2870   0.344628E+02   0.142356E+01   0.238773E-01  -0.159901E+01
  2871   0.343793E+02   0.142209E+01   0.238560E-01  -0.160379E+01
  2872   0.342966E+02   0.142059E+01   0.238348E-01  -0.160859E+01
  2873   0.342147E+02   0.141903E+01   0.238136E-01  -0.161343E+01
  2874   0.341335E+02   0.141743E+01   0.237924E-01  -0.161828E+01
  2875   0.340531E+02   0.141577E+01   0.237713E-01  -0.162315E+01
  2876   0.339735E+02   0.141408E+01   0.237501E-01  -0.162804E+01
  2877   0.338947E+02   0.141233E+01   0.237291E-01  -0.163293E+01
  2878   0.338166E+02   0.141054E+01   0.237080E-01  -0.163784E+01
  2879   0.337392E+02   0.140869E+01   0.236870E-01  -0.164274E+01
  2880   0.336627E+02   0.140680E+01   0.236660E-01  -0.164765E+01
  2881   0.335868E+02   0.140487E+01   0.236451E-01  -0.165256E+01
  2882   0.335117E+02   0.140288E+01   0.236242E-01  -0.165745E+01
  2883   0.334373E+02   0.140085E+01   0.236033E-01  -0.166234E+01
  2884   0.333636E+02   0.139877E+01   0.235825E-01  -0.166722E+01
  2885   0.332907E+02   0.139664E+01   0.235617E-01  -0.167208E+01
  2886   0.332185E+02   0.139446E+01   0.235409E-01  -0.167692E+01
  2887   0.331469E+02   0.139224E+01   0.235202E-01  -0.168174E+01
  2888   0.330761E+02   0.138996E+01   0.234995E-01  -0.168653E+01
  2889   0.330060E+02   0.138765E+01   0.234788E-01  -0.169129E+01
  2890   0.329365E+02   0.138528E+01   0.234582E-01  -0.169602E+01
  2891   0.328677E+02   0.138287E+01   0.234376E-01  -0.170072E+01
  2892   0.327997E+02   0.138041E+01   0.234170E-01  -0.170537E+01
  2893   0.327322E+02   0.137790E+01   0.233965E-01  -0.170999E+01
  2894   0.326654E+02   0.137535E+01   0.233760E-01  -0.171456E+01
  2895   0.325993E+02   0.137275E+01   0.233556E-01  -0.171909E+01
  2896   0.325338E+02   0.137011E+01   0.233351E-01  -0.172357E+01
  2897   0.324689E+02   0.136742E+01   0.233147E-01  -0.172799E+01
  2898   0.324047E+02   0.136469E+01   0.232944E-01  -0.173236E+01
  2899   0.323411E+02   0.136191E+01   0.232741E-01  -0.173667E+01
  2900   0.322781E+02   0.135909E+01   0.232538E-01  -0.174092E+01
  2901   0.322157E+02   0.135622E+01   0.232335E-01  -0.174511E+01
  2902   0.321539E+02   0.135331E+01   0.232133E-01  -0.174923E+01
  2903   0.320927E+02   0.135035E+01   0.231931E-01  -0.175328E+01
  2904   0.320321E+02   0.134736E+01   0.231730E-01  -0.175726E+01
  2905   0.319720E+02   0.134432E+01   0.231528E-01  -0.176117E+01
  2906   0.319125E+02   0.134123E+01   0.231327E-01  -0.176501E+01
  2907   0.318535E+02   0.133811E+01   0.231127E-01  -0.176876E+01
  2908   0.317951E+02   0.133495E+01   0.230927E-01  -0.177244E+01
  2909   0.317372E+02   0.133174E+01   0.230727E-01  -0.177603E+01
  2910   0.316798E+02   0.132850E+01   0.230527E-01  -0.177954E+01
  2911   0.316229E+02   0.132521E+01   0.230328E-01  -0.178296E+01
  2912   0.315666E+02   0.132189E+01   0.230129E-01  -0.178630E+01
  2913   0.315108E+02   0.131853E+01   0.229931E-01  -0.178954E+01
  2914   0.314554E+02   0.131513E+01   0.229732E-01  -0.179269E+01
  2915   0.314005E+02   0.131169E+01   0.229535E-01  -0.179575E+01
  2916   0.313461E+02   0.130822E+01   0.229337E-01  -0.179871E+01
  2917   0.312921E+02   0.130471E+01   0.229140E-01  -0.180157E+01
  2918   0.312386E+02   0.130116E+01   0.228943E-01  -0.180433E+01
  2919   0.311856E+02   0.129758E+01   0.228746E-01  -0.180700E+01
  2920   0.311329E+02   0.129397E+01   0.228550E-01  -0.180955E+01
  2921   0.310807E+02   0.129032E+01   0.228354E-01  -0.181201E+01
  2922   0.310289E+02   0.128664E+01   0.228158E-01  -0.181436E+01
  2923   0.309775E+02   0.128292E+01   0.227963E-01  -0.181660E+01
  2924   0.309265E+02   0.127918E+01   0.227768E-01  -0.181873E+01
  2925   0.308759E+02   0.127540E+01   0.227573E-01  -0.182075E+01
  2926   0.308256E+02   0.127159E+01   0.227379E-01  -0.182266E+01
  2927   0.307757E+02   0.126776E+01   0.227185E-01  -0.182446E+01
  2928   0.307262E+02   0.126389E+01   0.226991E-01  -0.182614E+01
  2929   0.306770E+02   0.126000E+01   0.226797E-01  -0.182771E+01
  2930   0.306282E+02   0.125608E+01   0.226604E-01  -0.182916E+01
  2931   0.305796E+02   0.125213E+01   0.226411E-01  -0.183050E+01
  2932   0.305314E+02   0.124816E+01   0.226219E-01  -0.183172E+01
  2933   0.304835E+02   0.124416E+01   0.226027E-01  -0.183282E+01
  2934   0.304359E+02   0.124014E+01   0.225835E-01  -0.183380E+01
  2935   0.303886E+02   0.123609E+01   0.225643E-01  -0.183466E+01
  2936   0.303415E+02   0.123202E+01   0.225451E-01  -0.183540E+01
  2937   0.302948E+02   0.122793E+01   0.225260E-01  -0.183602E+01
  2938   0.302483E+02   0.122382E+01   0.225070E-01  -0.183652E+01
  2939   0.302020E+02   0.121969E+01   0.224879E-01  -0.183690E+01
  2940   0.301560E+02   0.121554E+01   0.224689E-01  -0.183715E+01
  2941   0.301102E+02   0.121137E+01   0.224499E-01  -0.183728E+01
  2942   0.300646E+02   0.120718E+01   0.224309E-01  -0.183728E+01
  2943   0.300192E+02   0.120297E+01   0.224120E-01  -0.183716E+01
  2944   0.299741E+02   0.119875E+01   0.223931E-01  -0.183692E+01
  2945   0.299291E+02   0.119451E+01   0.223742E-01  -0.183656E+01
  2946   0.298844E+02   0.119025E+01   0.223554E-01  -0.183606E+01
  2947   0.298398E+02   0.118599E+01   0.223365E-01  -0.183545E+01
  2948   0.297953E+02   0.118171E+01   0.223177E-01  -0.183471E+01
  2949   0.297511E+02   0.117741E+01   0.222990E-01  -0.183384E+01
  2950   0.297070E+02   0.117311E+01   0.222802E-01  -0.183285E+01
  2951   0.296630E+02   0.116879E+01   0.222615E-01  -0.183174E+01
  2952   0.296191E+02   0.116446E+01   0.222428E-01  -0.183050E+01
  2953   0.295754E+02   0.116013E+01   0.222242E-01  -0.182914E+01
  2954   0.295318E+02   0.115578E+01   0.222055E-01  -0.182766E+01
  2955   0.294883E+02   0.115143E+01   0.221869E-01  -0.182605E+01
  2956   0.294449E+02   0.114707E+01   0.221683E-01  -0.182432E+01
  2957   0.294016E+02   0.114271E+01   0.221498E-01  -0.182246E+01
  2958   0.293584E+02   0.113834E+01   0.221313E-01  -0.182048E+01
  2959   0.293153E+02   0.113396E+01   0.221128E-01  -0.181839E+01
  2960   0.292722E+02   0.112958E+01   0.220943E-01  -0.181617E+01
  2961   0.292292E+02   0.112520E+01   0.220758E-01  -0.181383E+01
  2962   0.291862E+02   0.112082E+01   0.220574E-01  -0.181137E+01
  2963   0.291433E+02   0.111643E+01   0.220390E-01  -0.180879E+01
  2964   0.291004E+02   0.111205E+01   0.220206E-01  -0.180609E+01
  2965   0.290575E+02   0.110766E+01   0.220022E-01  -0.180328E+01
  2966   0.290147E+02   0.110328E+01   0.219839E-01  -0.180035E+01
  2967   0.289719E+02   0.109890E+01   0.219656E-01  -0.179730E+01
  2968   0.289291E+02   0.109452E+01   0.219473E-01  -0.179414E+01
  2969   0.288863E+02   0.109015E+01   0.219290E-01  -0.179087E+01
  2970   0.288435E+02   0.108578E+01   0.219108E-01  -0.178748E+01
  2971   0.288006E+02   0.108141E+01   0.218926E-01  -0.178398E+01
  2972   0.287578E+02   0.107705E+01   0.218744E-01  -0.178038E+01
  2973   0.287149E+02   0.107270E+01   0.218562E-01  -0.177666E+01
  2974   0.286721E+02   0.106835E+01   0.218381E-01  -0.177283E+01
  2975   0.286291E+02   0.106401E+01   0.218200E-01  -0.176890E+01
  2976   0.285861E+02   0.105968E+01   0.218019E-01  -0.176486E+01
  2977   0.285431E+02   0.105536E+01   0.217838E-01  -0.176072E+01
  2978   0.285000E+02   0.105106E+01   0.217657E-01  -0.175647E+01
  2979   0.284569E+02   0.104676E+01   0.217477E-01  -0.175213E+01
  2980   0.284137E+02   0.104247E+01   0.217297E-01  -0.174768E+01
  2981   0.283704E+02   0.103820E+01   0.217117E-01  -0.174313E+01
  2982   0.283270E+02   0.103393E+01   0.216937E-01  -0.173849E+01
  2983   0.282836E+02   0.102969E+01   0.216758E-01  -0.173375E+01
  2984   0.282401E+02   0.102545E+01   0.216578E-01  -0.172892E+01
  2985   0.281964E+02   0.102123E+01   0.216399E-01  -0.172400E+01
  2986   0.281527E+02   0.101703E+01   0.216220E-01  -0.171898E+01
  2987   0.281089E+02   0.101285E+01   0.216042E-01  -0.171388E+01
  2988   0.280650E+02   0.100868E+01   0.215863E-01  -0.170868E+01
  2989   0.280210E+02   0.100452E+01   0.215685E-01  -0.170340E+01
  2990   0.279768E+02   0.100039E+01   0.215507E-01  -0.169804E+01
  2991   0.279326E+02   0.996277E+00   0.215329E-01  -0.169259E+01
  2992   0.278882E+02   0.992182E+00   0.215151E-01  -0.168706E+01
  2993   0.278437E+02   0.988106E+00   0.214974E-01  -0.168146E+01
  2994   0.277990E+02   0.984052E+00   0.214796E-01  -0.167577E+01
  2995   0.277542E+02   0.980019E+00   0.214619E-01  -0.167001E+01
  2996   0.277094E+02   0.976007E+00   0.214442E-01  -0.166418E+01
  2997   0.276643E+02   0.972018E+00   0.214266E-01  -0.165827E+01
  2998   0.276191E+02   0.968051E+00   0.214089E-01  -0.165230E+01
  2999   0.275738E+02   0.964108E+00   0.213913E-01  -0.164625E+01
  3000   0.275283E+02   0.960189E+00   0.213737E-01  -0.164014E+01
  3001   0.274827E+02   0.956294E+00   0.213561E-01  -0.163396E+01
  3002   0.274369E+02   0.952424E+00   0.213385E-01  -0.162773E+01
  3003   0.273909E+02   0.948580E+00   0.213209E-01  -0.162143E+01
  3004   0.273448E+02   0.944761E+00   0.213034E-01  -0.161507E+01
  3005   0.272986E+02   0.940969E+00   0.212858E-01  -0.160866E+01
  3006   0.272522E+02   0.937203E+00   0.212683E-01  -0.160219E+01
  3007   0.272056E+02   0.933464E+00   0.212508E-01  -0.159567E+01
  3008   0.271589E+02   0.929753E+00   0.212334E-01  -0.158909E+01
  3009   0.271119E+02   0.926070E+00   0.212159E-01  -0.158247E+01
  3010   0.270649E+02   0.922416E+00   0.211985E-01  -0.157580E+01
  3011   0.270176E+02   0.918790E+00   0.211810E-01  -0.156909E+01
  3012   0.269702E+02   0.915193E+00   0.211636E-01  -0.156233E+01
  3013   0.269226E+02   0.911626E+00   0.211462E-01  -0.155554E+01
  3014   0.268748E+02   0.908089E+00   0.211289E-01  -0.154870E+01
  3015   0.268269E+02   0.904583E+00   0.211115E-01  -0.154183E+01
  3016   0.267788E+02   0.901106E+00   0.210942E-01  -0.153492E+01
  3017   0.267305E+02   0.897661E+00   0.210768E-01  -0.152798E+01
  3018   0.266821E+02   0.894246E+00   0.210595E-01  -0.152101E+01
  3019   0.266334E+02   0.890863E+00   0.210422E-01  -0.151401E+01
  3020   0.265846E+02   0.887512E+00   0.210250E-01  -0.150699E+01
  3021   0.265356E+02   0.884192E+00   0.210077E-01  -0.149994E+01
  3022   0.264865E+02   0.880905E+00   0.209904E-01  -0.149286E+01
  3023   0.264372E+02   0.877651E+00   0.209732E-01  -0.148577E+01
  3024   0.263877E+02   0.874429E+00   0.209560E-01  -0.147866E+01
  3025   0.263380E+02   0.871240E+00   0.209388E-01  -0.147153E+01
  3026   0.262881E+02   0.868084E+00   0.209216E-01  -0.146438E+01
  3027   0.262381E+02   0.864961E+00   0.209045E-01  -0.145723E+01
  3028   0.261879E+02   0.861872E+00   0.208873E-01  -0.145006E+01
  3029   0.261376E+02   0.858816E+00   0.208702E-01  -0.144288E+01
  3030   0.260871E+02   0.855794E+00   0.208530E-01  -0.143570E+01
  3031   0.260364E+02   0.852806E+00   0.208359E-01  -0.142852E+01
  3032   0.259855E+02   0.849852E+00   0.208188E-01  -0.142133E+01
  3033   0.259345E+02   0.846933E+00   0.208018E-01  -0.141414E+01
  3034   0.258834E+02   0.844047E+00   0.207847E-01  -0.140695E+01
  3035   0.258320E+02   0.841196E+00   0.207676E-01  -0.139977E+01
  3036   0.257805E+02   0.838379E+00   0.207506E-01  -0.139259E+01
  3037   0.257289E+02   0.835597E+00   0.207336E-01  -0.138541E+01
  3038   0.256771E+02   0.832849E+00   0.207166E-01  -0.137825E+01
  3039   0.256251E+02   0.830136E+00   0.206996E-01  -0.137110E+01
  3040   0.255730E+02   0.827457E+00   0.206826E-01  -0.136395E+01
  3041   0.255208E+02   0.824813E+00   0.206656E-01  -0.135683E+01
  3042   0.254684E+02   0.822204E+00   0.206487E-01  -0.134972E+01
  3043   0.254158E+02   0.819629E+00   0.206318E-01  -0.134263E+01
  3044   0.253632E+02   0.817088E+00   0.206148E-01  -0.133555E+01
  3045   0.253104E+02   0.814583E+00   0.205979E-01  -0.132850E+01
  3046   0.252574E+02   0.812111E+00   0.205810E-01  -0.132147E+01
  3047   0.252043E+02   0.809674E+00   0.205642E-01  -0.131447E+01
  3048   0.251511E+02   0.807272E+00   0.205473E-01  -0.130749E+01
  3049   0.250978E+02   0.804904E+00   0.205305E-01  -0.130054E+01
  3050   0.250444E+02   0.802570E+00   0.205136E-01  -0.129362E+01
  3051   0.249908E+02   0.800270E+00   0.204968E-01  -0.128674E+01
  3052   0.249371E+02   0.798004E+00   0.204800E-01  -0.127988E+01
  3053   0.248833E+02   0.795772E+00   0.204632E-01  -0.127306E+01
  3054   0.248294E+02   0.793574E+00   0.204464E-01  -0.126628E+01
  3055   0.247753E+02   0.791409E+00   0.204296E-01  -0.125953E+01
  3056   0.247212E+02   0.789278E+00   0.204129E-01  -0.125283E+01
  3057   0.246670E+02   0.787180E+00   0.203962E-01  -0.124616E+01
  3058   0.246127E+02   0.785115E+00   0.203794E-01  -0.123954E+01
  3059   0.245583E+02   0.783083E+00   0.203627E-01  -0.123296E+01
  3060   0.245038E+02   0.781084E+00   0.203460E-01  -0.122642E+01
  3061   0.244492E+02   0.779117E+00   0.203293E-01  -0.121994E+01
  3062   0.243946E+02   0.777183E+00   0.203127E-01  -0.121350E+01
  3063   0.243398E+02   0.775281E+00   0.202960E-01  -0.120710E+01
  3064   0.242850E+02   0.773411E+00   0.202794E-01  -0.120076E+01
  3065   0.242302E+02   0.771572E+00   0.202627E-01  -0.119447E+01
  3066   0.241752E+02   0.769765E+00   0.202461E-01  -0.118824E+01
  3067   0.241202E+02   0.767989E+00   0.202295E-01  -0.118205E+01
  3068   0.240652E+02   0.766243E+00   0.202129E-01  -0.117593E+01
  3069   0.240101E+02   0.764528E+00   0.201964E-01  -0.116986E+01
  3070   0.239550E+02   0.762844E+00   0.201798E-01  -0.116384E+01
  3071   0.238997E+02   0.761190E+00   0.201633E-01  -0.115789E+01
  3072   0.238445E+02   0.759565E+00   0.201467E-01  -0.115200E+01
  3073   0.237893E+02   0.757969E+00   0.201302E-01  -0.114616E+01
  3074   0.237340E+02   0.756403E+00   0.201137E-01  -0.114039E+01
  3075   0.236786E+02   0.754866E+00   0.200972E-01  -0.113468E+01
  3076   0.236233E+02   0.753357E+00   0.200807E-01  -0.112903E+01
  3077   0.235679E+02   0.751876E+00   0.200643E-01  -0.112345E+01
  3078   0.235126E+02   0.750422E+00   0.200478E-01  -0.111794E+01
  3079   0.234572E+02   0.748996E+00   0.200314E-01  -0.111248E+01
  3080   0.234019E+02   0.747598E+00   0.200150E-01  -0.110710E+01
  3081   0.233465E+02   0.746226E+00   0.199986E-01  -0.110179E+01
  3082   0.232911E+02   0.744880E+00   0.199822E-01  -0.109654E+01
  3083   0.232357E+02   0.743560E+00   0.199658E-01  -0.109136E+01
  3084   0.231804E+02   0.742265E+00   0.199494E-01  -0.108625E+01
  3085   0.231250E+02   0.740996E+00   0.199331E-01  -0.108122E+01
  3086   0.230698E+02   0.739752E+00   0.199167E-01  -0.107625E+01
  3087   0.230145E+02   0.738532E+00   0.199004E-01  -0.107136E+01
  3088   0.229592E+02   0.737336E+00   0.198841E-01  -0.106654E+01
  3089   0.229040E+02   0.736163E+00   0.198678E-01  -0.106179E+01
  3090   0.228489E+02   0.735014E+00   0.198515E-01  -0.105711E+01
  3091   0.227937E+02   0.733887E+00   0.198353E-01  -0.105251E+01
  3092   0.227387E+02   0.732783E+00   0.198190E-01  -0.104798E+01
  3093   0.226837E+02   0.731701E+00   0.198028E-01  -0.104353E+01
  3094   0.226287E+02   0.730640E+00   0.197866E-01  -0.103915E+01
  3095   0.225738E+02   0.729600E+00   0.197704E-01  -0.103485E+01
  3096   0.225190E+02   0.728581E+00   0.197542E-01  -0.103062E+01
  3097   0.224643E+02   0.727582E+00   0.197380E-01  -0.102647E+01
  3098   0.224096E+02   0.726602E+00   0.197219E-01  -0.102240E+01
  3099   0.223550E+02   0.725643E+00   0.197057E-01  -0.101840E+01
  3100   0.223005E+02   0.724701E+00   0.196896E-01  -0.101447E+01
  3101   0.222461E+02   0.723779E+00   0.196735E-01  -0.101063E+01
  3102   0.221918E+02   0.722874E+00   0.196574E-01  -0.100686E+01
  3103   0.221376E+02   0.721987E+00   0.196413E-01  -0.100317E+01
  3104   0.220834E+02   0.721116E+00   0.196252E-01  -0.999554E+00
  3105   0.220294E+02   0.720263E+00   0.196092E-01  -0.996016E+00
  3106   0.219755E+02   0.719425E+00   0.195931E-01  -0.992554E+00
  3107   0.219217E+02   0.718603E+00   0.195771E-01  -0.989170E+00
  3108   0.218681E+02   0.717797E+00   0.195611E-01  -0.985862E+00
  3109   0.218145E+02   0.717005E+00   0.195451E-01  -0.982631E+00
  3110   0.217611E+02   0.716227E+00   0.195291E-01  -0.979477E+00
  3111   0.217078E+02   0.715463E+00   0.195132E-01  -0.976398E+00
  3112   0.216547E+02   0.714713E+00   0.194972E-01  -0.973397E+00
  3113   0.216017E+02   0.713975E+00   0.194813E-01  -0.970471E+00
  3114   0.215488E+02   0.713250E+00   0.194654E-01  -0.967621E+00
  3115   0.214961E+02   0.712536E+00   0.194495E-01  -0.964846E+00
  3116   0.214435E+02   0.711834E+00   0.194336E-01  -0.962146E+00
  3117   0.213911E+02   0.711144E+00   0.194177E-01  -0.959522E+00
  3118   0.213388E+02   0.710463E+00   0.194019E-01  -0.956972E+00
  3119   0.212867E+02   0.709793E+00   0.193861E-01  -0.954495E+00
  3120   0.212348E+02   0.709132E+00   0.193702E-01  -0.952093E+00
  3121   0.211830E+02   0.708481E+00   0.193544E-01  -0.949764E+00
  3122   0.211314E+02   0.707839E+00   0.193387E-01  -0.947507E+00
  3123   0.210800E+02   0.707204E+00   0.193229E-01  -0.945323E+00
  3124   0.210287E+02   0.706578E+00   0.193071E-01  -0.943211E+00
  3125   0.209776E+02   0.705958E+00   0.192914E-01  -0.941170E+00
  3126   0.209268E+02   0.705346E+00   0.192757E-01  -0.939200E+00
  3127   0.208761E+02   0.704740E+00   0.192600E-01  -0.937299E+00
  3128   0.208256E+02   0.704141E+00   0.192443E-01  -0.935469E+00
  3129   0.207752E+02   0.703547E+00   0.192286E-01  -0.933707E+00
  3130   0.207251E+02   0.702958E+00   0.192130E-01  -0.932013E+00
  3131   0.206752E+02   0.702373E+00   0.191973E-01  -0.930387E+00
  3132   0.206255E+02   0.701793E+00   0.191817E-01  -0.928827E+00
  3133   0.205759E+02   0.701217E+00   0.191661E-01  -0.927334E+00
  3134   0.205266E+02   0.700644E+00   0.191505E-01  -0.925906E+00
  3135   0.204775E+02   0.700074E+00   0.191350E-01  -0.924543E+00
  3136   0.204286E+02   0.699507E+00   0.191194E-01  -0.923244E+00
  3137   0.203799E+02   0.698942E+00   0.191039E-01  -0.922008E+00
  3138   0.203315E+02   0.698379E+00   0.190884E-01  -0.920834E+00
  3139   0.202832E+02   0.697817E+00   0.190729E-01  -0.919721E+00
  3140   0.202352E+02   0.697255E+00   0.190574E-01  -0.918669E+00
  3141   0.201873E+02   0.696695E+00   0.190419E-01  -0.917677E+00
  3142   0.201398E+02   0.696134E+00   0.190265E-01  -0.916743E+00
  3143   0.200924E+02   0.695573E+00   0.190111E-01  -0.915868E+00
  3144   0.200453E+02   0.695011E+00   0.189957E-01  -0.915049E+00
  3145   0.199984E+02   0.694449E+00   0.189803E-01  -0.914287E+00
  3146   0.199517E+02   0.693885E+00   0.189649E-01  -0.913580E+00
  3147   0.199052E+02   0.693319E+00   0.189495E-01  -0.912926E+00
  3148   0.198591E+02   0.692751E+00   0.189342E-01  -0.912327E+00
  3149   0.198131E+02   0.692180E+00   0.189189E-01  -0.911779E+00
  3150   0.197673E+02   0.691606E+00   0.189036E-01  -0.911282E+00
  3151   0.197218E+02   0.691030E+00   0.188883E-01  -0.910836E+00
  3152   0.196766E+02   0.690449E+00   0.188730E-01  -0.910438E+00
  3153   0.196315E+02   0.689865E+00   0.188578E-01  -0.910089E+00
  3154   0.195868E+02   0.689276E+00   0.188426E-01  -0.909787E+00
  3155   0.195422E+02   0.688683E+00   0.188274E-01  -0.909531E+00
  3156   0.194980E+02   0.688085E+00   0.188122E-01  -0.909319E+00
  3157   0.194539E+02   0.687481E+00   0.187970E-01  -0.909152E+00
  3158   0.194101E+02   0.686872E+00   0.187818E-01  -0.909027E+00
