#    L    TT             EE             BB             TE          
    91   0.242252E+04   0.636804E+00   0.267645E-02  -0.172509E+02
    92   0.245166E+04   0.652267E+00   0.273594E-02  -0.178846E+02
    93   0.248101E+04   0.667700E+00   0.279612E-02  -0.185228E+02
    94   0.251055E+04   0.683090E+00   0.285698E-02  -0.191650E+02
    95   0.254032E+04   0.698422E+00   0.291854E-02  -0.198109E+02
    96   0.257030E+04   0.713683E+00   0.298079E-02  -0.204600E+02
    97   0.260050E+04   0.728857E+00   0.304375E-02  -0.211119E+02
    98   0.263091E+04   0.743929E+00   0.310740E-02  -0.217661E+02
    99   0.266153E+04   0.758887E+00   0.317177E-02  -0.224221E+02
   100   0.269237E+04   0.773717E+00   0.323684E-02  -0.230794E+02
   101   0.272343E+04   0.788407E+00   0.330263E-02  -0.237374E+02
   102   0.275469E+04   0.802933E+00   0.336914E-02  -0.243960E+02
   103   0.278615E+04   0.817296E+00   0.343638E-02  -0.250542E+02
   104   0.281781E+04   0.831465E+00   0.350435E-02  -0.257118E+02
   105   0.284966E+04   0.845435E+00   0.357305E-02  -0.263681E+02
   106   0.288170E+04   0.859190E+00   0.364250E-02  -0.270224E+02
   107   0.291391E+04   0.872722E+00   0.371268E-02  -0.276744E+02
   108   0.294628E+04   0.886009E+00   0.378362E-02  -0.283235E+02
   109   0.297882E+04   0.899045E+00   0.385532E-02  -0.289689E+02
   110   0.301151E+04   0.911807E+00   0.392777E-02  -0.296104E+02
   111   0.304435E+04   0.924287E+00   0.400099E-02  -0.302472E+02
   112   0.307734E+04   0.936479E+00   0.407499E-02  -0.308788E+02
   113   0.311046E+04   0.948359E+00   0.414976E-02  -0.315047E+02
   114   0.314372E+04   0.959914E+00   0.422531E-02  -0.321244E+02
   115   0.317710E+04   0.971144E+00   0.430166E-02  -0.327372E+02
   116   0.321060E+04   0.982033E+00   0.437880E-02  -0.333427E+02
   117   0.324422E+04   0.992560E+00   0.445674E-02  -0.339402E+02
   118   0.327794E+04   0.100272E+01   0.453549E-02  -0.345292E+02
   119   0.331175E+04   0.101251E+01   0.461506E-02  -0.351092E+02
   120   0.334566E+04   0.102192E+01   0.469544E-02  -0.356797E+02
   121   0.337966E+04   0.103092E+01   0.477666E-02  -0.362399E+02
   122   0.341372E+04   0.103952E+01   0.485870E-02  -0.367896E+02
   123   0.344786E+04   0.104770E+01   0.494158E-02  -0.373280E+02
   124   0.348205E+04   0.105546E+01   0.502531E-02  -0.378546E+02
   125   0.351629E+04   0.106279E+01   0.510989E-02  -0.383690E+02
   126   0.355058E+04   0.106967E+01   0.519533E-02  -0.388706E+02
   127   0.358490E+04   0.107612E+01   0.528164E-02  -0.393588E+02
   128   0.361924E+04   0.108210E+01   0.536881E-02  -0.398332E+02
   129   0.365360E+04   0.108763E+01   0.545686E-02  -0.402933E+02
   130   0.368798E+04   0.109269E+01   0.554580E-02  -0.407385E+02
   131   0.372235E+04   0.109728E+01   0.563562E-02  -0.411683E+02
   132   0.375672E+04   0.110139E+01   0.572634E-02  -0.415823E+02
   133   0.379107E+04   0.110502E+01   0.581797E-02  -0.419800E+02
   134   0.382541E+04   0.110818E+01   0.591050E-02  -0.423608E+02
   135   0.385971E+04   0.111085E+01   0.600394E-02  -0.427244E+02
   136   0.389398E+04   0.111303E+01   0.609831E-02  -0.430702E+02
   137   0.392820E+04   0.111472E+01   0.619360E-02  -0.433977E+02
   138   0.396237E+04   0.111593E+01   0.628982E-02  -0.437066E+02
   139   0.399647E+04   0.111664E+01   0.638698E-02  -0.439964E+02
   140   0.403050E+04   0.111686E+01   0.648509E-02  -0.442667E+02
   141   0.406446E+04   0.111661E+01   0.658414E-02  -0.445171E+02
   142   0.409833E+04   0.111587E+01   0.668414E-02  -0.447471E+02
   143   0.413210E+04   0.111464E+01   0.678511E-02  -0.449564E+02
   144   0.416577E+04   0.111294E+01   0.688704E-02  -0.451447E+02
   145   0.419932E+04   0.111075E+01   0.698994E-02  -0.453113E+02
   146   0.423274E+04   0.110810E+01   0.709381E-02  -0.454561E+02
   147   0.426600E+04   0.110499E+01   0.719866E-02  -0.455784E+02
   148   0.429911E+04   0.110142E+01   0.730449E-02  -0.456781E+02
   149   0.433204E+04   0.109739E+01   0.741131E-02  -0.457545E+02
   150   0.436478E+04   0.109293E+01   0.751912E-02  -0.458074E+02
   151   0.439730E+04   0.108802E+01   0.762792E-02  -0.458365E+02
   152   0.442963E+04   0.108269E+01   0.773773E-02  -0.458413E+02
   153   0.446173E+04   0.107695E+01   0.784853E-02  -0.458218E+02
   154   0.449361E+04   0.107080E+01   0.796034E-02  -0.457776E+02
   155   0.452527E+04   0.106426E+01   0.807316E-02  -0.457084E+02
   156   0.455670E+04   0.105734E+01   0.818698E-02  -0.456142E+02
   157   0.458789E+04   0.105004E+01   0.830183E-02  -0.454945E+02
   158   0.461884E+04   0.104240E+01   0.841768E-02  -0.453492E+02
   159   0.464955E+04   0.103441E+01   0.853455E-02  -0.451780E+02
   160   0.467999E+04   0.102610E+01   0.865245E-02  -0.449809E+02
   161   0.471015E+04   0.101748E+01   0.877136E-02  -0.447575E+02
   162   0.474002E+04   0.100857E+01   0.889129E-02  -0.445077E+02
   163   0.476959E+04   0.999389E+00   0.901225E-02  -0.442312E+02
   164   0.479884E+04   0.989946E+00   0.913422E-02  -0.439280E+02
   165   0.482777E+04   0.980262E+00   0.925723E-02  -0.435978E+02
   166   0.485637E+04   0.970359E+00   0.938125E-02  -0.432406E+02
   167   0.488462E+04   0.960259E+00   0.950630E-02  -0.428561E+02
   168   0.491252E+04   0.949985E+00   0.963237E-02  -0.424444E+02
   169   0.494005E+04   0.939558E+00   0.975946E-02  -0.420055E+02
   170   0.496723E+04   0.928995E+00   0.988757E-02  -0.415392E+02
   171   0.499402E+04   0.918323E+00   0.100167E-01  -0.410455E+02
   172   0.502043E+04   0.907567E+00   0.101468E-01  -0.405243E+02
   173   0.504644E+04   0.896748E+00   0.102780E-01  -0.399757E+02
   174   0.507205E+04   0.885888E+00   0.104102E-01  -0.393996E+02
   175   0.509726E+04   0.875025E+00   0.105433E-01  -0.387961E+02
   176   0.512204E+04   0.864174E+00   0.106775E-01  -0.381653E+02
   177   0.514639E+04   0.853372E+00   0.108127E-01  -0.375070E+02
   178   0.517030E+04   0.842640E+00   0.109489E-01  -0.368214E+02
   179   0.519377E+04   0.832002E+00   0.110861E-01  -0.361085E+02
   180   0.521678E+04   0.821494E+00   0.112242E-01  -0.353685E+02
   181   0.523934E+04   0.811147E+00   0.113634E-01  -0.346015E+02
   182   0.526143E+04   0.800989E+00   0.115035E-01  -0.338075E+02
   183   0.528305E+04   0.791042E+00   0.116446E-01  -0.329868E+02
   184   0.530418E+04   0.781345E+00   0.117867E-01  -0.321395E+02
   185   0.532483E+04   0.771934E+00   0.119297E-01  -0.312657E+02
   186   0.534499E+04   0.762831E+00   0.120737E-01  -0.303656E+02
   187   0.536464E+04   0.754067E+00   0.122186E-01  -0.294394E+02
   188   0.538380E+04   0.745681E+00   0.123644E-01  -0.284874E+02
   189   0.540243E+04   0.737705E+00   0.125112E-01  -0.275097E+02
   190   0.542055E+04   0.730173E+00   0.126589E-01  -0.265066E+02
   191   0.543814E+04   0.723116E+00   0.128076E-01  -0.254785E+02
   192   0.545519E+04   0.716569E+00   0.129571E-01  -0.244254E+02
   193   0.547170E+04   0.710566E+00   0.131075E-01  -0.233476E+02
   194   0.548768E+04   0.705142E+00   0.132588E-01  -0.222456E+02
   195   0.550310E+04   0.700333E+00   0.134110E-01  -0.211195E+02
   196   0.551797E+04   0.696173E+00   0.135640E-01  -0.199700E+02
   197   0.553229E+04   0.692701E+00   0.137179E-01  -0.187971E+02
   198   0.554606E+04   0.689951E+00   0.138727E-01  -0.176015E+02
   199   0.555926E+04   0.687958E+00   0.140282E-01  -0.163832E+02
   200   0.557190E+04   0.686759E+00   0.141846E-01  -0.151430E+02
   201   0.558398E+04   0.686391E+00   0.143418E-01  -0.138809E+02
   202   0.559547E+04   0.686890E+00   0.144998E-01  -0.125976E+02
   203   0.560637E+04   0.688291E+00   0.146586E-01  -0.112934E+02
   204   0.561668E+04   0.690631E+00   0.148181E-01  -0.996865E+01
   205   0.562637E+04   0.693948E+00   0.149784E-01  -0.862392E+01
   206   0.563544E+04   0.698275E+00   0.151394E-01  -0.725954E+01
   207   0.564388E+04   0.703651E+00   0.153012E-01  -0.587590E+01
   208   0.565168E+04   0.710112E+00   0.154636E-01  -0.447360E+01
   209   0.565888E+04   0.717692E+00   0.156268E-01  -0.305317E+01
   210   0.566545E+04   0.726430E+00   0.157906E-01  -0.161516E+01
   211   0.567141E+04   0.736361E+00   0.159551E-01  -0.160115E+00
   212   0.567677E+04   0.747521E+00   0.161203E-01   0.131139E+01
   213   0.568152E+04   0.759947E+00   0.162861E-01   0.279882E+01
   214   0.568568E+04   0.773675E+00   0.164525E-01   0.430161E+01
   215   0.568925E+04   0.788734E+00   0.166195E-01   0.581918E+01
   216   0.569220E+04   0.805170E+00   0.167871E-01   0.735093E+01
   217   0.569455E+04   0.823011E+00   0.169553E-01   0.889625E+01
   218   0.569628E+04   0.842288E+00   0.171240E-01   0.104546E+02
   219   0.569740E+04   0.863043E+00   0.172933E-01   0.120254E+02
   220   0.569789E+04   0.885306E+00   0.174630E-01   0.136081E+02
   221   0.569776E+04   0.909106E+00   0.176333E-01   0.152018E+02
   222   0.569699E+04   0.934487E+00   0.178041E-01   0.168063E+02
   223   0.569560E+04   0.961471E+00   0.179753E-01   0.184206E+02
   224   0.569360E+04   0.990095E+00   0.181469E-01   0.200443E+02
   225   0.569097E+04   0.102038E+01   0.183190E-01   0.216765E+02
   226   0.568771E+04   0.105237E+01   0.184915E-01   0.233168E+02
   227   0.568383E+04   0.108609E+01   0.186644E-01   0.249643E+02
   228   0.567934E+04   0.112157E+01   0.188376E-01   0.266185E+02
   229   0.567423E+04   0.115885E+01   0.190112E-01   0.282786E+02
   230   0.566850E+04   0.119794E+01   0.191851E-01   0.299440E+02
   231   0.566216E+04   0.123887E+01   0.193594E-01   0.316140E+02
   232   0.565522E+04   0.128167E+01   0.195339E-01   0.332878E+02
   233   0.564766E+04   0.132638E+01   0.197087E-01   0.349649E+02
   234   0.563950E+04   0.137300E+01   0.198837E-01   0.366444E+02
   235   0.563074E+04   0.142158E+01   0.200590E-01   0.383257E+02
   236   0.562137E+04   0.147214E+01   0.202345E-01   0.400080E+02
   237   0.561141E+04   0.152469E+01   0.204101E-01   0.416906E+02
   238   0.560085E+04   0.157926E+01   0.205860E-01   0.433729E+02
   239   0.558971E+04   0.163586E+01   0.207620E-01   0.450541E+02
   240   0.557799E+04   0.169453E+01   0.209381E-01   0.467332E+02
   241   0.556567E+04   0.175528E+01   0.211143E-01   0.484099E+02
   242   0.555279E+04   0.181813E+01   0.212907E-01   0.500832E+02
   243   0.553933E+04   0.188309E+01   0.214671E-01   0.517524E+02
   244   0.552531E+04   0.195019E+01   0.216435E-01   0.534169E+02
   245   0.551073E+04   0.201944E+01   0.218200E-01   0.550759E+02
   246   0.549560E+04   0.209085E+01   0.219965E-01   0.567287E+02
   247   0.547991E+04   0.216444E+01   0.221729E-01   0.583746E+02
   248   0.546370E+04   0.224022E+01   0.223494E-01   0.600128E+02
   249   0.544694E+04   0.231820E+01   0.225258E-01   0.616427E+02
   250   0.542966E+04   0.239841E+01   0.227021E-01   0.632635E+02
   251   0.541185E+04   0.248083E+01   0.228783E-01   0.648744E+02
   252   0.539351E+04   0.256548E+01   0.230545E-01   0.664745E+02
   253   0.537465E+04   0.265236E+01   0.232305E-01   0.680633E+02
   254   0.535528E+04   0.274148E+01   0.234063E-01   0.696397E+02
   255   0.533539E+04   0.283285E+01   0.235820E-01   0.712031E+02
   256   0.531499E+04   0.292646E+01   0.237575E-01   0.727527E+02
   257   0.529409E+04   0.302232E+01   0.239328E-01   0.742880E+02
   258   0.527270E+04   0.312043E+01   0.241078E-01   0.758078E+02
   259   0.525083E+04   0.322079E+01   0.242827E-01   0.773127E+02
   260   0.522850E+04   0.332340E+01   0.244572E-01   0.788003E+02
   261   0.520571E+04   0.342826E+01   0.246315E-01   0.802716E+02
   262   0.518249E+04   0.353537E+01   0.248055E-01   0.817249E+02
   263   0.515883E+04   0.364472E+01   0.249792E-01   0.831603E+02
   264   0.513476E+04   0.375631E+01   0.251525E-01   0.845764E+02
   265   0.511026E+04   0.387013E+01   0.253255E-01   0.859738E+02
   266   0.508535E+04   0.398616E+01   0.254982E-01   0.873504E+02
   267   0.506004E+04   0.410439E+01   0.256704E-01   0.887054E+02
   268   0.503433E+04   0.422481E+01   0.258423E-01   0.900396E+02
   269   0.500821E+04   0.434741E+01   0.260137E-01   0.913507E+02
   270   0.498171E+04   0.447218E+01   0.261847E-01   0.926396E+02
   271   0.495483E+04   0.459909E+01   0.263553E-01   0.939040E+02
   272   0.492758E+04   0.472815E+01   0.265254E-01   0.951446E+02
   273   0.489998E+04   0.485930E+01   0.266950E-01   0.963599E+02
   274   0.487202E+04   0.499256E+01   0.268642E-01   0.975508E+02
   275   0.484371E+04   0.512788E+01   0.270328E-01   0.987151E+02
   276   0.481509E+04   0.526525E+01   0.272009E-01   0.998533E+02
   277   0.478615E+04   0.540466E+01   0.273685E-01   0.100964E+03
   278   0.475689E+04   0.554607E+01   0.275356E-01   0.102047E+03
   279   0.472734E+04   0.568945E+01   0.277021E-01   0.103102E+03
   280   0.469751E+04   0.583478E+01   0.278680E-01   0.104129E+03
   281   0.466739E+04   0.598203E+01   0.280333E-01   0.105126E+03
   282   0.463700E+04   0.613116E+01   0.281981E-01   0.106095E+03
   283   0.460636E+04   0.628215E+01   0.283623E-01   0.107032E+03
   284   0.457547E+04   0.643497E+01   0.285258E-01   0.107939E+03
   285   0.454433E+04   0.658958E+01   0.286887E-01   0.108815E+03
   286   0.451297E+04   0.674595E+01   0.288510E-01   0.109660E+03
   287   0.448140E+04   0.690403E+01   0.290127E-01   0.110473E+03
   288   0.444962E+04   0.706380E+01   0.291737E-01   0.111253E+03
   289   0.441764E+04   0.722520E+01   0.293340E-01   0.112001E+03
   290   0.438548E+04   0.738822E+01   0.294937E-01   0.112715E+03
   291   0.435314E+04   0.755282E+01   0.296527E-01   0.113396E+03
   292   0.432064E+04   0.771886E+01   0.298110E-01   0.114043E+03
   293   0.428798E+04   0.788643E+01   0.299686E-01   0.114657E+03
   294   0.425517E+04   0.805545E+01   0.301256E-01   0.115235E+03
   295   0.422223E+04   0.822577E+01   0.302818E-01   0.115778E+03
   296   0.418916E+04   0.839747E+01   0.304374E-01   0.116287E+03
   297   0.415596E+04   0.857039E+01   0.305922E-01   0.116758E+03
