# [0]ell [1]TgradT [2]EgradE [3]BgradB [4]TgradE
3.300000000000000000e+01 1.104150280712883614e+03 3.008998556048681980e-02 5.549127245068880389e-04 1.934171160777313769e+00
3.400000000000000000e+01 1.121015512230944523e+03 3.333708672437519366e-02 5.884037222699730349e-04 1.941929720617139754e+00
3.500000000000000000e+01 1.138625914943163480e+03 3.680280232325550821e-02 6.228617323014356893e-04 1.935261349276184317e+00
3.600000000000000000e+01 1.156161216386530214e+03 4.049234335151994518e-02 6.582801846941655800e-04 1.922482982861925871e+00
3.700000000000000000e+01 1.173955927228378187e+03 4.442872779610514827e-02 6.946612549986697039e-04 1.897122541652795924e+00
3.800000000000000000e+01 1.191922094858102128e+03 4.860524117716727432e-02 7.319983861957569948e-04 1.861049286252393076e+00
3.900000000000000000e+01 1.210024018649613936e+03 5.302673551411440922e-02 7.702934856457319818e-04 1.814693230448795713e+00
4.000000000000000000e+01 1.228307622479324891e+03 5.770336472178930198e-02 8.095400090974983398e-04 1.757103754762069814e+00
4.100000000000000000e+01 1.246786968765801475e+03 6.264486158647881997e-02 8.497396116651366894e-04 1.687734093324565698e+00
4.200000000000000000e+01 1.265459574313196526e+03 6.785791759079973229e-02 8.908857863713599617e-04 1.607586396470453760e+00
4.300000000000000000e+01 1.284305947648716938e+03 7.334850946945792316e-02 9.329799951599766815e-04 1.517650696446214642e+00
4.400000000000000000e+01 1.303343627351139730e+03 7.912028663962794583e-02 9.760157288922109101e-04 1.417313305130341483e+00
4.500000000000000000e+01 1.322605096002723712e+03 8.517425213826924912e-02 1.019994266768599377e-03 1.305656056193514436e+00
4.600000000000000000e+01 1.342032085158332166e+03 9.150946033332081619e-02 1.064909159820879138e-03 1.182203737902532081e+00
4.700000000000000000e+01 1.361612170156756065e+03 9.812979677538269385e-02 1.110761501334245425e-03 1.046395743686314050e+00
4.800000000000000000e+01 1.381331277160754325e+03 1.050332611759135226e-01 1.157544972164022395e-03 8.976317947109336837e-01
4.900000000000000000e+01 1.401190273946591105e+03 1.122172896785491730e-01 1.205260590562568998e-03 7.353858038969909305e-01
5.000000000000000000e+01 1.421256752560035466e+03 1.196902727189358556e-01 1.253901924773919091e-03 5.592707336866413748e-01
5.100000000000000000e+01 1.441598833401381626e+03 1.274605365513953037e-01 1.303469928128380816e-03 3.692037081022981893e-01
5.200000000000000000e+01 1.462160110890723217e+03 1.355307661752868653e-01 1.353958294055558923e-03 1.661170376737303445e-01
5.300000000000000000e+01 1.482862447752388107e+03 1.438991356922702247e-01 1.405367930960762287e-03 -4.901321344128502233e-02
5.400000000000000000e+01 1.503679588285731597e+03 1.525643637997020352e-01 1.457692618709533492e-03 -2.760694696462378528e-01
5.500000000000000000e+01 1.524600213174134524e+03 1.615268559450250274e-01 1.510933241459854175e-03 -5.153036485829324276e-01
5.600000000000000000e+01 1.545731070194709218e+03 1.707809546580754678e-01 1.565083606069124890e-03 -7.676116973388236175e-01
5.700000000000000000e+01 1.567176534993330961e+03 1.803245607633489345e-01 1.620144205062956861e-03 -1.033903631096859899e+00
5.800000000000000000e+01 1.588899244481800451e+03 1.901584167700204608e-01 1.676110046004227524e-03 -1.314413957540467193e+00
5.900000000000000000e+01 1.610817391534087847e+03 2.002841892753230713e-01 1.732981472844983412e-03 -1.609090017828937125e+00
6.000000000000000000e+01 1.632915891963240711e+03 2.106959560386171548e-01 1.790752663571852470e-03 -1.917463344684858795e+00
6.100000000000000000e+01 1.655204588677943320e+03 2.213884028222888323e-01 1.849424493310274044e-03 -2.239056263854455775e+00
6.200000000000000000e+01 1.677681275883285707e+03 2.323577639393324956e-01 1.908991348679949787e-03 -2.573709810862413683e+00
6.300000000000000000e+01 1.700353828945574151e+03 2.436016376505850956e-01 1.969454159118409244e-03 -2.921359685394978811e+00
6.400000000000000000e+01 1.723215195677013753e+03 2.551166883678185338e-01 2.030807480976724953e-03 -3.281933979989041905e+00
6.500000000000000000e+01 1.746280670503062311e+03 2.669019988866793147e-01 2.093052351955838799e-03 -3.655420258398376365e+00
6.600000000000000000e+01 1.769583045801638491e+03 2.789498465157010942e-01 2.156183497182780941e-03 -4.041926502648248487e+00
